columna,tipo_dato,unidad,fuente,definicion,comentario
date,fecha/string,YYYY-MM-DD,Derivado,Fecha calendario de la observación ambiental.,Llave temporal principal. Convertir a tipo fecha antes de realizar ingeniería de características.
year,entero,año,Derivado,Año calendario de la observación.,"Útil para particionar datos, validación temporal y unir conjuntos de datos anuales."
month,entero,1-12,Derivado,Mes calendario de la observación.,Puede usarse para capturar estacionalidad; conviene considerar codificación cíclica.
day_of_year,entero,1-365/366,Derivado,Número secuencial del día dentro del año.,Útil para modelar estacionalidad anual; considerar codificación seno/coseno.
dpto_ccdgo,string,código DIVIPOLA,DANE DIVIPOLA,Código oficial DANE del departamento.,Mantener como string para conservar ceros a la izquierda. Usar para joins y agrupaciones.
dpto_cnmbr,string,texto,DANE DIVIPOLA,Nombre oficial del departamento.,Etiqueta legible. Para joins es preferible usar dpto_ccdgo.
mpio_ccdgo,string,código DIVIPOLA,DANE DIVIPOLA,Código del municipio dentro de su departamento.,Mantener como string. Para una llave nacional única usar preferiblemente mpio_cdpmp.
mpio_cdpmp,string,código DIVIPOLA,DANE DIVIPOLA,Código DIVIPOLA completo y único del municipio a nivel nacional.,"Llave geográfica principal para unir clima, SIVIGILA, población y otras fuentes municipales."
mpio_cnmbr,string,texto,DANE DIVIPOLA,Nombre oficial del municipio.,Etiqueta legible. Evitar usar nombres como llave de unión.
rain_mm_day,float,mm/día,CHIRPS Daily,Precipitación diaria promedio espacial dentro del municipio.,"Luego se pueden calcular acumulados de 7, 14 y 28 días, días lluviosos, lluvia intensa y días desde la última lluvia."
temp_mean_c,float,°C,ERA5-Land Daily,"Temperatura media diaria del aire a 2 metros, promediada espacialmente dentro del municipio.","Luego calcular medias móviles, anomalías, rangos de temperatura y variables de idoneidad para el mosquito."
dewpoint_mean_c,float,°C,ERA5-Land Daily,"Temperatura media diaria del punto de rocío a 2 metros, promediada espacialmente dentro del municipio.",Puede combinarse con la temperatura del aire para estimar humedad relativa u otras variables relacionadas con humedad atmosférica.
soil_water_l1_mean,float,m³/m³,ERA5-Land Daily,"Contenido volumétrico medio diario de agua en la capa superficial del suelo, aproximadamente 0-7 cm.",Usar como proxy de humedad y persistencia de condiciones húmedas; calcular medias móviles y anomalías.
surface_runoff_mm_day,float,mm/día,ERA5-Land Daily,"Escorrentía superficial diaria acumulada, convertida de metros a milímetros y promediada espacialmente dentro del municipio.",Puede complementar la lluvia como indicador de movimiento y acumulación de agua. Revisar valores extremos antes del modelado.
total_evaporation_mm_day_ecmwf,float,mm/día,ERA5-Land Daily,"Evaporación total diaria acumulada, convertida de metros a milímetros y conservando la convención de signo de ECMWF.","Validar el signo antes de usar. Si los valores son negativos, puede transformarse como evap_loss_mm_day = -valor para facilitar interpretación."
wind_u_mean_ms,float,m/s,ERA5-Land Daily,"Componente media diaria este-oeste del viento a 10 metros, promediada espacialmente dentro del municipio.",Valores positivos indican flujo hacia el este. Combinar con V para crear dirección o magnitud aproximada del viento.
wind_v_mean_ms,float,m/s,ERA5-Land Daily,"Componente media diaria norte-sur del viento a 10 metros, promediada espacialmente dentro del municipio.",Valores positivos indican flujo hacia el norte. Combinar con U para crear variables vectoriales de viento.
solar_radiation_mj_m2_day,float,MJ/m²/día,ERA5-Land Daily,"Radiación solar descendente diaria acumulada en superficie, convertida de J/m² a MJ/m² y promediada espacialmente dentro del municipio.",Puede representar condiciones de calentamiento y secado; probar medias móviles e interacciones con lluvia y humedad del suelo.
